"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_edit.nlogo"
"metab_vision_pop"
"02/13/2024 13:20:22:133 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","max-metabolism","max-vision","[step]","count turtles","survival-rate","last-death","gini-index","mean [vision] of turtles","mean [metabolism] of turtles"
"138","800","8","6","281","224","0.28","179","0.3956942512690099","3.6964285714285716","1.8616071428571428"
"145","500","10","6","159","121","0.242","57","0.35902772767050184","3.834710743801653","1.8760330578512396"
"139","900","8","6","286","254","0.2822222222222222","184","0.3968746220456731","3.578740157480315","1.7401574803149606"
"140","1000","8","6","281","253","0.253","179","0.39650833664852925","3.7549407114624507","1.7588932806324111"
"151","100","2","8","126","88","0.88","24","0.16716208720458023","5.284090909090909","1.5227272727272727"
"144","400","10","6","408","87","0.2175","306","0.33256688502513254","3.689655172413793","1.8735632183908046"
"146","600","10","6","161","137","0.22833333333333333","59","0.3831903104959989","3.7737226277372264","1.927007299270073"
"147","700","10","6","241","175","0.25","139","0.37566616890658705","3.8857142857142857","1.8457142857142856"
"152","200","2","8","126","187","0.935","24","0.2110667321293508","4.652406417112299","1.4491978609625669"
"149","900","10","6","207","202","0.22444444444444445","105","0.3939171382040253","3.8217821782178216","1.816831683168317"
"153","300","2","8","126","274","0.9133333333333333","24","0.21812934985571195","4.835766423357664","1.4452554744525548"
"154","400","2","8","124","367","0.9175","22","0.28578251291629087","4.705722070844686","1.438692098092643"
"148","800","10","6","365","191","0.23875","263","0.359427212976868","3.6596858638743455","1.801047120418848"
"161","100","4","8","261","69","0.69","159","0.2856342864812205","5.173913043478261","1.9855072463768115"
"150","1000","10","6","416","238","0.238","314","0.3632651993557983","3.819327731092437","1.7100840336134453"
"155","500","2","8","125","459","0.918","23","0.34279844205589605","4.745098039215686","1.4662309368191722"
"156","600","2","8","179","532","0.8866666666666667","77","0.37626176874728645","4.738721804511278","1.462406015037594"
"162","200","4","8","183","128","0.64","81","0.33549996204008575","4.9921875","2.0078125"
"163","300","4","8","289","187","0.6233333333333333","187","0.3694741151233909","5.192513368983957","1.9411764705882353"
"164","400","4","8","232","219","0.5475","130","0.3752136372932103","4.794520547945205","1.821917808219178"
"165","500","4","8","441","266","0.532","339","0.358924556337854","4.928571428571429","1.7255639097744362"
"157","700","2","8","392","636","0.9085714285714286","290","0.4094909901118848","4.830188679245283","1.4229559748427674"
"166","600","4","8","414","285","0.475","312","0.29383638568826614","4.673684210526316","1.5578947368421052"
"167","700","4","8","343","323","0.4614285714285714","241","0.2850796798398406","4.643962848297214","1.4705882352941178"
"169","900","4","8","154","399","0.44333333333333336","52","0.3222478792799068","4.646616541353383","1.4711779448621554"
"171","100","6","8","407","52","0.52","305","0.30815441288663153","4.9423076923076925","2.173076923076923"
"172","200","6","8","205","92","0.46","103","0.32968858166372056","4.891304347826087","2.097826086956522"
"173","300","6","8","139","131","0.43666666666666665","37","0.35466680596308187","4.770992366412214","1.9465648854961832"
"170","1000","4","8","142","486","0.486","40","0.3565704180075957","4.70164609053498","1.4362139917695473"
"175","500","6","8","139","213","0.426","37","0.3777825360269676","5.004694835680751","1.9061032863849765"
"168","800","4","8","293","357","0.44625","191","0.31539697641116743","4.675070028011205","1.5126050420168067"
"174","400","6","8","254","169","0.4225","152","0.3497948926318722","5.029585798816568","1.9349112426035502"
"176","600","6","8","263","246","0.41","161","0.3885321816376496","4.873983739837398","1.829268292682927"
"181","100","8","8","187","53","0.53","85","0.41552094168455156","5.09433962264151","2.452830188679245"
"160","1000","2","8","561","759","0.759","459","0.40458879062529557","5.0184453227931485","1.3478260869565217"
"158","800","2","8","636","680","0.85","534","0.43586673548230415","4.873529411764705","1.4470588235294117"
"182","200","8","8","266","67","0.335","164","0.3178736929595759","5.08955223880597","2.014925373134328"
"183","300","8","8","169","110","0.36666666666666664","67","0.359264963395852","4.345454545454546","1.9636363636363636"
"184","400","8","8","136","123","0.3075","34","0.3755979141202891","5.073170731707317","1.943089430894309"
"180","1000","6","8","302","300","0.3","200","0.2953141311316474","4.656666666666666","1.5433333333333332"
"177","700","6","8","541","261","0.37285714285714283","439","0.32832647813129295","5.095785440613027","1.632183908045977"
"178","800","6","8","449","273","0.34125","347","0.33108012925412267","4.721611721611722","1.6227106227106227"
"185","500","8","8","291","162","0.324","189","0.3228743373859361","4.672839506172839","1.7654320987654322"
"191","100","10","8","126","27","0.27","24","0.25556376775888967","5.111111111111111","1.8888888888888888"
"187","700","8","8","221","223","0.31857142857142856","119","0.4161103661569639","4.874439461883408","1.9775784753363228"
"186","600","8","8","339","189","0.315","237","0.386130985485052","4.915343915343915","1.873015873015873"
"188","800","8","8","235","216","0.27","133","0.3951008503820323","4.930555555555555","1.8842592592592593"
"192","200","10","8","169","58","0.29","67","0.338991149882385","5.0344827586206895","2.0689655172413794"
"193","300","10","8","197","81","0.27","95","0.27820753381397645","5.037037037037037","1.8395061728395061"
"194","400","10","8","181","101","0.2525","79","0.3129237982746437","4.99009900990099","1.7920792079207921"
"179","900","6","8","365","274","0.30444444444444446","263","0.32556970799600526","5.069343065693431","1.5912408759124088"
"195","500","10","8","163","145","0.29","61","0.3268693165120716","4.6","1.8551724137931034"
"196","600","10","8","177","164","0.2733333333333333","75","0.38966654290327657","5.115853658536586","1.9451219512195121"
"197","700","10","8","181","177","0.25285714285714284","79","0.3402450358827506","4.768361581920904","1.9039548022598871"
"201","100","2","10","126","91","0.91","24","0.1897610214008929","6.131868131868132","1.5054945054945055"
"189","900","8","8","412","251","0.2788888888888889","310","0.354273227533684","5.247011952191235","1.745019920318725"
"198","800","10","8","212","197","0.24625","110","0.36700885803610467","5.101522842639594","1.9593908629441625"
"159","900","2","8","926","715","0.7944444444444444","824","0.42477926444623526","5.07972027972028","1.4125874125874125"
"190","1000","8","8","422","268","0.268","320","0.32903799843022585","4.932835820895522","1.664179104477612"
"202","200","2","10","126","183","0.915","24","0.21926576454867766","5.622950819672131","1.4480874316939891"
"203","300","2","10","126","280","0.9333333333333333","24","0.2208465563603766","5.739285714285714","1.4428571428571428"
"204","400","2","10","126","363","0.9075","24","0.2733808342929319","5.7190082644628095","1.440771349862259"
"205","500","2","10","126","462","0.924","24","0.33743032913226767","5.348484848484849","1.4458874458874458"
"199","900","10","8","345","219","0.24333333333333335","243","0.36270597990892245","5.109589041095891","1.8584474885844748"
"211","100","4","10","447","67","0.67","345","0.28304441215316367","6.402985074626866","1.8507462686567164"
"207","700","2","10","152","648","0.9257142857142857","50","0.4146251268814818","5.78858024691358","1.4969135802469136"
"206","600","2","10","200","563","0.9383333333333334","98","0.38307360805831686","5.733570159857904","1.4618117229129663"
"200","1000","10","8","608","236","0.236","506","0.41879641966796133","5.220338983050848","1.8771186440677967"
